                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.96817,                 1.0963,                 1.4053,                0.56411,                0.43899,                0.50154,                0.30848,                 1.3653,                 1.6604,                  1.751,             0.00097775,             0.00097775,             0.00097775
                     68,                0.96878,                 1.1067,                 1.4123,                0.57463,                 0.4873,                0.51336,                0.32837,                 1.3547,                 1.6848,                 1.7216,             0.00097362,             0.00097362,             0.00097362
                     69,                0.96309,                 1.0514,                 1.4066,                 0.4941,                0.44245,                0.45957,                0.27539,                 1.3728,                 1.8694,                  1.752,              0.0009695,              0.0009695,              0.0009695
                     70,                0.93484,                 1.0528,                 1.4027,                0.49934,                0.43429,                0.48023,                0.31458,                 1.3584,                 1.6333,                 1.7264,             0.00096537,             0.00096537,             0.00096537
                     71,                0.96038,                 1.0413,                 1.4051,                0.48702,                0.43116,                0.46743,                0.30818,                 1.3204,                 1.7247,                 1.6884,             0.00096125,             0.00096125,             0.00096125
                     72,                0.92626,                 1.0333,                 1.3788,                0.56861,                0.36937,                0.46329,                0.30808,                 1.3434,                 1.6712,                 1.7209,             0.00095712,             0.00095712,             0.00095712
                     73,                0.93969,                 1.0148,                 1.3916,                0.53127,                0.51319,                0.51893,                0.33829,                 1.3273,                 1.6034,                 1.7359,               0.000953,               0.000953,               0.000953
                     74,                0.94523,                 1.0215,                  1.386,                0.54313,                0.52585,                0.53861,                0.35943,                 1.2891,                 1.5387,                 1.6999,             0.00094887,             0.00094887,             0.00094887
                     75,                0.91849,                 1.0117,                 1.3727,                0.52634,                0.48336,                0.50057,                0.33249,                 1.2994,                 1.6886,                 1.6758,             0.00094475,             0.00094475,             0.00094475
                     76,                0.93187,                 1.0134,                 1.3928,                0.44181,                0.53031,                0.44167,                0.29169,                 1.3106,                 1.7826,                  1.667,             0.00094062,             0.00094062,             0.00094062
                     77,                0.91851,                0.97729,                 1.3762,                0.56854,                0.46375,                0.48615,                0.31245,                 1.3255,                 1.7814,                 1.7045,              0.0009365,              0.0009365,              0.0009365
                     78,                0.92773,                0.99071,                 1.3703,                0.56973,                0.45656,                0.48978,                0.31017,                 1.3214,                 1.7115,                 1.6824,             0.00093238,             0.00093238,             0.00093238
                     79,                0.90717,                 0.9798,                 1.3614,                0.53191,                0.49372,                0.52196,                0.34658,                 1.2647,                  1.636,                 1.6582,             0.00092825,             0.00092825,             0.00092825
                     80,                0.91836,                0.96864,                 1.3727,                0.42238,                0.51246,                0.46852,                0.30041,                 1.3056,                 1.7572,                 1.7021,             0.00092413,             0.00092413,             0.00092413
                     81,                0.89929,                 0.9541,                 1.3609,                0.46627,                0.55816,                0.53496,                 0.3504,                 1.3187,                 1.6213,                 1.6749,                0.00092,                0.00092,                0.00092
                     82,                0.89853,                0.96475,                 1.3542,                0.55218,                0.41685,                0.49235,                0.31469,                 1.3419,                 1.6544,                 1.7258,             0.00091588,             0.00091588,             0.00091588
                     83,                0.91959,                0.97259,                 1.3713,                0.53569,                0.47971,                0.54831,                0.35811,                 1.3165,                  1.614,                 1.7208,             0.00091175,             0.00091175,             0.00091175
                     84,                0.87993,                0.95165,                  1.346,                0.42711,                0.62695,                0.51842,                0.33628,                 1.3509,                 1.6147,                 1.7341,             0.00090763,             0.00090763,             0.00090763
                     85,                0.89077,                0.92591,                 1.3545,                 0.5317,                0.48312,                0.49329,                0.32579,                 1.3463,                 1.6629,                 1.7276,              0.0009035,              0.0009035,              0.0009035
                     86,                0.89911,                0.93356,                  1.359,                0.45993,                0.56379,                0.50234,                0.32556,                 1.3181,                 1.7379,                 1.7064,             0.00089938,             0.00089938,             0.00089938
                     87,                0.89738,                0.93054,                 1.3495,                0.46719,                0.50552,                0.51233,                0.32641,                  1.329,                 1.6656,                 1.7411,             0.00089525,             0.00089525,             0.00089525
                     88,                0.88666,                0.94493,                 1.3431,                0.53332,                0.49125,                0.53194,                0.34591,                 1.2729,                 1.5827,                 1.6866,             0.00089112,             0.00089112,             0.00089112
                     89,                0.89499,                0.96656,                 1.3562,                0.55473,                0.45581,                0.51334,                0.32927,                 1.2887,                   1.63,                 1.6708,               0.000887,               0.000887,               0.000887
