    76/299    0.493G   0.03426  0.007609    0.0149   0.05676        34       320    0.3274    0.5014    0.3371    0.1726   0.06233   0.01078   0.02639
    77/299    0.493G   0.03476  0.007622   0.01456   0.05694        43       320    0.3727     0.439     0.315    0.1697    0.0641    0.0104   0.02673
    78/299    0.493G   0.03421  0.007759   0.01501   0.05698        25       320     0.367    0.5075    0.3484    0.1843   0.06382   0.01011   0.02732
    79/299    0.493G   0.03449  0.007882   0.01429   0.05666        14       320    0.3708    0.4779    0.3524    0.1788   0.06297   0.01039   0.02578
    80/299    0.493G   0.03481  0.007843   0.01491   0.05756        33       320     0.356    0.4391    0.3047    0.1529   0.06522   0.01046   0.02733
    81/299    0.493G   0.03388  0.007672   0.01414   0.05569        19       320    0.3016    0.4843    0.3182    0.1585   0.06423   0.01043   0.02673
    82/299    0.493G   0.03432  0.007562   0.01498   0.05686        39       320    0.3266    0.4888    0.3394    0.1722     0.064   0.01022   0.02552
    83/299    0.493G   0.03461  0.007747   0.01471   0.05707        18       320    0.3825    0.5156     0.368    0.1943   0.06381   0.01027   0.02462
    84/299    0.493G   0.03378  0.007778     0.014   0.05556        32       320    0.3392    0.4675     0.336    0.1804   0.06327   0.01053   0.02627
    85/299    0.493G   0.03407  0.007501   0.01415   0.05572        21       320    0.3416    0.5482    0.3786    0.2158   0.06282   0.01038    0.0241
    86/299    0.493G   0.03292  0.007542   0.01398   0.05445        31       320    0.4453    0.4248     0.382    0.2025   0.06344   0.01046   0.02432
    87/299    0.493G   0.03417  0.007465   0.01428   0.05592        34       320    0.3482    0.4583    0.3443    0.1868   0.06457   0.01045   0.02602
    88/299    0.493G   0.03322  0.007489   0.01433   0.05503        13       320    0.4231    0.4969    0.4098    0.2221   0.06298   0.01009   0.02403
    89/299    0.493G   0.03415  0.007499   0.01394   0.05559        22       320     0.351    0.5181    0.4126    0.2375   0.06432   0.01005   0.02474
    90/299    0.493G   0.03296   0.00771   0.01398   0.05465        34       320    0.4435    0.4291    0.3868    0.2188   0.06454   0.01053   0.02365
    91/299    0.493G   0.03434  0.007449   0.01347   0.05526        23       320    0.5423    0.3842    0.4216    0.2203   0.06437   0.01024    0.0243
    92/299    0.493G   0.03338  0.007528   0.01358   0.05448        21       320    0.3283    0.5525    0.3764    0.2018   0.06322   0.01045   0.02618
    93/299    0.493G   0.03373  0.007601    0.0137   0.05504        20       320    0.3499    0.5128    0.3852    0.2112   0.06388   0.01043   0.02499
    94/299    0.493G   0.03329  0.007532   0.01359   0.05441        28       320    0.3873     0.498    0.4052    0.2217   0.06096   0.01035   0.02478
    95/299    0.493G   0.03289  0.007458   0.01328   0.05363        25       320    0.3538    0.5503    0.3805    0.2158   0.06199   0.01028   0.02379
    96/299    0.493G   0.03452  0.007882   0.01353   0.05593        33       320    0.3435    0.5186    0.3799     0.209   0.06262    0.0105   0.02523
    97/299    0.493G   0.03301  0.007457   0.01305   0.05352        39       320    0.3306    0.5257    0.3849    0.2095   0.06211   0.01055   0.02486
    98/299    0.493G    0.0323   0.00767   0.01331   0.05328        27       320     0.391    0.4676    0.3957    0.2231   0.06124   0.01047   0.02404
    99/299    0.493G   0.03353  0.007667   0.01345   0.05464        33       320     0.549    0.3957    0.4342    0.2465   0.06033   0.01025   0.02418
   100/299    0.493G   0.03269  0.007333   0.01304   0.05307        35       320    0.4004    0.4475    0.3934    0.2106   0.06028   0.01063     0.025
   101/299    0.493G   0.03396   0.00759   0.01347   0.05501        17       320    0.4006    0.5451    0.4185    0.2421   0.06003    0.0107   0.02506
   102/299    0.493G   0.03225  0.007404   0.01328   0.05293        34       320    0.4182    0.4961    0.4115    0.2388   0.05988   0.01051    0.0239
   103/299    0.493G   0.03315  0.007553   0.01352   0.05422        40       320       0.3    0.5953     0.386    0.2253   0.06113    0.0105   0.02341
   104/299    0.493G   0.03355   0.00766   0.01343   0.05464        22       320    0.3698    0.5697     0.418    0.2395   0.05998   0.01025   0.02454
   105/299    0.493G   0.03278  0.007467    0.0131   0.05334        18       320    0.4179    0.5026    0.4195    0.2483   0.06142   0.01035   0.02412
   106/299    0.493G   0.03259  0.007509    0.0122    0.0523        18       320    0.4405     0.463    0.3988    0.2237   0.06013   0.01039   0.02384
   107/299    0.493G   0.03269  0.007298   0.01292   0.05291        22       320     0.313      0.54    0.3719    0.2087   0.06074   0.01061   0.02403
   108/299    0.493G   0.03212  0.007541   0.01254    0.0522        14       320     0.417    0.4707    0.4306    0.2556   0.06049   0.01061   0.02372
   109/299    0.493G   0.03255  0.007523   0.01235   0.05243        16       320    0.4369    0.4545    0.4225    0.2366   0.05912   0.01041   0.02322
   110/299    0.493G   0.03265  0.007341    0.0127   0.05269        18       320    0.3625    0.5767    0.3922    0.2242   0.05998   0.01074   0.02431
   111/299    0.493G   0.03129  0.007056   0.01285    0.0512        24       320    0.4804    0.4612    0.4383    0.2347   0.05965   0.01069   0.02283
   112/299    0.493G   0.03222  0.007317   0.01295   0.05249        21       320    0.4774    0.4417     0.418    0.2385   0.06131   0.01047   0.02316
   113/299    0.493G   0.03196  0.007357   0.01268     0.052        25       320    0.4152    0.5025    0.3939    0.2153   0.06107   0.01046    0.0234
   114/299    0.493G   0.03196  0.007328   0.01236   0.05165        29       320    0.4393    0.5286    0.4292    0.2491   0.06009   0.01036   0.02254
   115/299    0.493G   0.03204   0.00745   0.01245   0.05195        39       320    0.4533    0.4526     0.423    0.2439   0.05953   0.01041   0.02383
   116/299    0.493G   0.03186  0.007368   0.01251   0.05174        18       320    0.4517     0.442    0.4121    0.2328   0.06021    0.0104   0.02359
   117/299    0.493G   0.03271  0.007455   0.01299   0.05316        44       320    0.4148    0.4798    0.4008    0.2342   0.06002   0.01037   0.02525
   118/299    0.493G   0.03174  0.007067   0.01225   0.05106         4       320    0.4109    0.4957    0.4186    0.2219   0.06034   0.01055   0.02386
   119/299    0.493G   0.03134  0.007381   0.01239   0.05112        29       320     0.472    0.4702    0.4477    0.2497   0.06035   0.01056   0.02259
   120/299    0.493G    0.0321  0.007132   0.01198    0.0512        19       320    0.4151    0.4718    0.4111    0.2277   0.05983   0.01047    0.0241
   121/299    0.493G   0.03236  0.007548     0.012   0.05191        37       320    0.3972    0.5195    0.4347    0.2472   0.05884   0.01048   0.02428
   122/299    0.493G   0.03143  0.007364   0.01176   0.05055        14       320    0.4678    0.5194    0.4513    0.2587    0.0594   0.01047   0.02419
   123/299    0.493G   0.03135  0.007011   0.01152   0.04987        12       320    0.4463    0.5363    0.4765    0.2852   0.05886   0.01044   0.02215
   124/299    0.493G   0.03173  0.007184   0.01171   0.05062        30       320    0.3537    0.5918    0.4275    0.2458   0.06059   0.01043   0.02321
   125/299    0.493G   0.03138  0.007137   0.01199    0.0505        38       320    0.4143    0.5133    0.4211    0.2519   0.05979   0.01049   0.02272
   126/299    0.493G     0.031  0.007066   0.01115   0.04921        24       320    0.4357    0.4729    0.4285    0.2561   0.05856   0.01036   0.02281
   127/299    0.493G   0.03151   0.00722   0.01176    0.0505        20       320    0.4698     0.505    0.4569    0.2709   0.05859   0.01051   0.02307
   128/299    0.493G   0.03172   0.00751   0.01216   0.05139        24       320    0.4865    0.4904    0.4672    0.2585   0.05862   0.01046   0.02234
   129/299    0.493G    0.0311  0.007167   0.01143   0.04969        35       320    0.4126    0.5517    0.4395    0.2539   0.05892   0.01036   0.02413
   130/299    0.493G    0.0305  0.007156   0.01119   0.04884        15       320     0.424    0.5326    0.4602    0.2798   0.05761   0.01036   0.02269
   131/299    0.493G    0.0312  0.007042   0.01168   0.04993        17       320    0.4364    0.4832    0.4415    0.2537   0.05857   0.01045    0.0231
   132/299    0.493G   0.03097  0.007138   0.01185   0.04996         7       320    0.5198    0.4246    0.4454    0.2615   0.05905    0.0102   0.02317
   133/299    0.493G   0.03114  0.007172   0.01209    0.0504        35       320    0.4719    0.5026    0.4664     0.277   0.05885   0.01015   0.02283
   134/299    0.493G   0.03082  0.007111   0.01143   0.04937        18       320    0.4542    0.5071    0.4593    0.2636   0.05764   0.01035    0.0226
   135/299    0.493G   0.03045   0.00703   0.01118   0.04866        33       320    0.4308    0.5573    0.4591    0.2707   0.05884   0.01022   0.02316
   136/299    0.493G   0.03103  0.007132   0.01163   0.04979        29       320    0.4734     0.468    0.4324    0.2544    0.0586   0.01055   0.02311
   137/299    0.493G   0.03061  0.006983   0.01132    0.0489        33       320    0.3663    0.5757    0.4508    0.2657   0.05837    0.0101   0.02296
   138/299    0.493G   0.03096  0.007124   0.01157   0.04966        47       320    0.4113    0.5453    0.4309    0.2637   0.05826   0.01038   0.02353
   139/299    0.493G   0.03039  0.007137    0.0112   0.04873        39       320    0.5119    0.4525    0.4649    0.2731   0.05827   0.01013   0.02234
   140/299    0.493G   0.02939  0.006796    0.0105   0.04669        27       320    0.4804     0.489    0.4771    0.2891   0.05847   0.01012   0.02289
   141/299    0.493G   0.03025  0.007032   0.01142    0.0487        33       320    0.4258    0.4659    0.4315    0.2513   0.05902   0.01031   0.02277
   142/299    0.493G   0.03029  0.006836   0.01085   0.04798        18       320    0.4547    0.5107    0.4494    0.2727   0.05809   0.01014   0.02302
   143/299    0.493G   0.03102  0.006871   0.01113   0.04902        33       320    0.4262    0.5206    0.4517    0.2719   0.05828   0.01025   0.02333
   144/299    0.493G   0.03021  0.007296    0.0108   0.04831        26       320    0.3979    0.5773    0.4746    0.2717   0.05842   0.01021     0.023
   145/299    0.493G   0.03137  0.007171    0.0111   0.04964        35       320    0.5431    0.4329    0.4425     0.271   0.05919   0.01021   0.02202
   146/299    0.493G   0.03002  0.007139   0.01087   0.04803        21       320    0.4127    0.5436    0.4615    0.2766   0.05839   0.01011   0.02213
   147/299    0.493G   0.03065  0.007095   0.01123   0.04898        15       320    0.4854    0.4561    0.4376    0.2698   0.05761   0.01016   0.02246
   148/299    0.493G   0.03074  0.007012   0.01058   0.04833        35       320    0.4683    0.5085     0.455    0.2868   0.05851   0.01011   0.02224
   149/299    0.493G   0.03122  0.007064   0.01052    0.0488        35       320    0.4527    0.5062    0.4244    0.2581   0.05956   0.01003   0.02416
   150/299    0.493G   0.03036  0.007082   0.01084   0.04828         8       320    0.5679    0.4345    0.4732    0.2939   0.05947  0.009779   0.02218
   151/299    0.493G   0.02968  0.006853   0.01006   0.04659        41       320    0.5267    0.4678     0.461    0.2824   0.05818   0.01008   0.02214
   152/299    0.493G   0.03027  0.007083    0.0107   0.04805        36       320    0.4801    0.4873    0.4819    0.3055   0.05925  0.009743   0.02269
   153/299    0.493G   0.02952  0.006912   0.01021   0.04664        23       320    0.4145    0.5843    0.4874    0.2867   0.06069  0.009676    0.0229
   154/299    0.493G   0.03016  0.007031    0.0109   0.04809        29       320    0.5379     0.474    0.4856    0.2892   0.05959  0.009705   0.02314
   155/299    0.493G   0.03064  0.007088   0.01038   0.04811        18       320    0.4409    0.5555    0.4915    0.3146   0.06026  0.009417   0.02268
   156/299    0.493G      0.03  0.006713   0.01042   0.04713        34       320     0.455    0.4665    0.4667    0.2949   0.05991  0.009575   0.02229
   157/299    0.493G   0.03012  0.006888   0.01063   0.04764        18       320    0.5436    0.4514    0.4865    0.3034   0.06015  0.009591   0.02234
   158/299    0.493G   0.02962  0.006924   0.01037   0.04691        16       320    0.4052    0.6011    0.4745    0.2995   0.05992  0.009589   0.02221
   159/299    0.493G   0.03003  0.006834   0.01024   0.04711        15       320    0.4823    0.5212    0.4719    0.2961   0.06029  0.009788     0.021
   160/299    0.493G   0.03009  0.006863  0.009858   0.04681        40       320    0.4989    0.4767    0.4673    0.2842   0.06063  0.009809   0.02202
   161/299    0.493G   0.03047  0.006913    0.0107   0.04809        29       320    0.4656     0.527    0.4721    0.2862   0.05957  0.009833   0.02197
   162/299    0.493G   0.02956  0.006873  0.009676   0.04611        38       320    0.6043    0.4115    0.4952    0.2931   0.06032  0.009732   0.02198
   163/299    0.493G   0.03024  0.006934   0.01041   0.04759        43       320    0.5398     0.471    0.4806    0.2942    0.0591  0.009919   0.02297
   164/299    0.493G   0.02992  0.006745   0.01041   0.04707        34       320    0.4259     0.524    0.4541    0.2818   0.05896  0.009852   0.02266
   165/299    0.493G   0.02885  0.006687  0.009866   0.04541         8       320    0.5085    0.5667    0.4952     0.307   0.05913   0.00989    0.0222
   166/299    0.493G   0.02966  0.006646  0.009781   0.04608        30       320    0.5471     0.507    0.5144    0.3197   0.05814  0.009808   0.02199
   167/299    0.493G   0.03032  0.006769   0.01017   0.04726        26       320    0.6303    0.4034    0.4686    0.2816   0.05852  0.009833   0.02359
   168/299    0.493G   0.02898  0.006664  0.009682   0.04532        32       320    0.4859    0.4891    0.4523    0.2757   0.05932   0.01002   0.02351
   169/299    0.493G   0.03003  0.006742   0.00991   0.04669        42       320    0.5431    0.4333    0.4397    0.2629   0.05824   0.01003   0.02355
   170/299    0.493G   0.02956  0.006788  0.009547   0.04589        28       320    0.4595    0.4621    0.4317     0.267   0.05843  0.009955   0.02383
   171/299    0.493G   0.02948  0.006805  0.009974   0.04626        24       320    0.5299    0.4843    0.5046    0.3228   0.05792   0.01003   0.02208
   172/299    0.493G   0.02863  0.006561   0.01032   0.04552        25       320     0.465     0.564    0.4865    0.3015   0.05927   0.01012   0.02412
   173/299    0.493G   0.02872  0.006729  0.009951    0.0454        35       320    0.4978    0.5401     0.479    0.3015   0.05743   0.01009   0.02185
   174/299    0.493G   0.02987   0.00689   0.01007   0.04684        20       320    0.5514    0.4731    0.4746    0.2968   0.05798   0.01031   0.02194
   175/299    0.493G   0.02924  0.006603  0.009842   0.04568        34       320    0.5256    0.5396    0.5044    0.3234   0.05778   0.01011    0.0214
   176/299    0.493G   0.02933  0.006631  0.009886   0.04585        53       320    0.4458    0.5693    0.4649    0.2895   0.05808   0.01011   0.02331
   177/299    0.493G    0.0295   0.00674   0.01038   0.04662        32       320    0.4819    0.5084    0.4674    0.2929   0.05769   0.01017   0.02265
   178/299    0.493G   0.02917  0.006776  0.009568   0.04551        17       320    0.6114    0.4033    0.4717    0.3024   0.05825   0.01006   0.02227
   179/299    0.493G   0.02931  0.006711  0.009725   0.04574        23       320    0.4877    0.4934    0.4742    0.2907   0.05706   0.01026   0.02254
   180/299    0.493G   0.02945  0.006338  0.009408    0.0452        15       320    0.4378    0.6151    0.4823    0.2876   0.05656   0.01032   0.02307
   181/299    0.493G    0.0295  0.006572  0.009912   0.04598        21       320    0.4447    0.5484    0.4799    0.2997   0.05687   0.01025   0.02248
   182/299    0.493G   0.02953  0.006869  0.009844   0.04624        39       320    0.4526    0.5913    0.5017    0.3045   0.05665   0.01014   0.02179
   183/299    0.493G   0.02948  0.006902   0.01021   0.04659        30       320    0.4457    0.6053    0.4967    0.3077    0.0559   0.01021   0.02171
   184/299    0.493G   0.02856  0.006833   0.00934   0.04473        34       320    0.5112    0.5107    0.4874    0.3046   0.05712   0.01019   0.02216
   185/299    0.493G   0.02878   0.00669  0.009274   0.04474        16       320    0.4908    0.5433    0.4877    0.3001   0.05675   0.01019   0.02299
   186/299    0.493G   0.02879   0.00672   0.00951   0.04502        32       320    0.4698    0.5316     0.481    0.3088   0.05558   0.01029   0.02216
   187/299    0.493G   0.02847  0.006558  0.009118   0.04414        30       320     0.415    0.5945     0.484     0.312   0.05639   0.01011   0.02245
   188/299    0.493G   0.02842  0.006536  0.009279   0.04424        36       320    0.4262    0.5639    0.4766    0.3135   0.05648   0.01025    0.0228
   189/299    0.493G   0.02857   0.00672  0.009178   0.04447        22       320    0.5276    0.5125    0.4964    0.3221   0.05494    0.0104   0.02201
   190/299    0.493G   0.02918  0.006832  0.009375   0.04538        31       320    0.4438    0.5676    0.4923    0.3124   0.05503   0.01038   0.02212
   191/299    0.493G   0.02847   0.00661  0.009486   0.04456        37       320     0.423    0.5586    0.4681    0.3032   0.05553   0.01038   0.02254
   192/299    0.493G   0.02989  0.006802   0.00925   0.04594        14       320    0.5314      0.54    0.5022    0.3209   0.05458   0.01024   0.02176
   193/299    0.493G    0.0292  0.006409  0.009038   0.04464        35       320    0.4276    0.5825    0.4908    0.3139   0.05521   0.01039   0.02241
   194/299    0.493G   0.02901  0.006741  0.009192   0.04495        49       320    0.4871    0.5558    0.5096    0.3223   0.05531   0.01039   0.02215
   195/299    0.493G   0.02895  0.006677  0.009522   0.04515        28       320    0.5601    0.5091    0.5209    0.3206   0.05499   0.01029    0.0218
   196/299    0.493G   0.02909  0.006534  0.009251   0.04487        21       320       0.5    0.5237    0.5075    0.3031   0.05567   0.01038   0.02179
   197/299    0.493G   0.02907  0.006762  0.009237   0.04507        19       320    0.4831    0.5701      0.51    0.3146   0.05554   0.01037    0.0215
